100,203
90,207
79,187
91,180
98,168
87,158
125,171
126,192
122,199
134,153
156,145
157,138
145,128
121,132
106,137
62,134
60,124
80,120
98,118
100,104
113,106
203,91
203,81
210,75
216,56
231,44
191,45
190,26
213,26
195,136
178,162
196,186
229,199
232,224
146,223
37,216
47,204
41,197
34,162
32,152
36,108
25,93
62,68
24,60
32,45
44,35
99,32
118,34
160,59
162,69
181,65
182,56
226,99
226,111
230,117
227,121
230,129
230,144
230,158
230,171
230,185
203,224
190,220
178,209
167,205
51,211
